"topic";"term";"beta";"top_name"
1;"represent";0,0441428121304433;"represent, visual, imag, metaphor, map"
1;"visual";0,043589587290648;"represent, visual, imag, metaphor, map"
1;"imag";0,0330552642995457;"represent, visual, imag, metaphor, map"
1;"metaphor";0,018832775709808;"represent, visual, imag, metaphor, map"
1;"map";0,0181873467300468;"represent, visual, imag, metaphor, map"
1;"mean";0,016435468070695;"represent, visual, imag, metaphor, map"
1;"present";0,0141534156065394;"represent, visual, imag, metaphor, map"
1;"pictur";0,0128164555770341;"represent, visual, imag, metaphor, map"
1;"understand";0,0127934045420426;"represent, visual, imag, metaphor, map"
1;"draw";0,0121710265972729;"represent, visual, imag, metaphor, map"
1;"inform";0,0111567810576481;"represent, visual, imag, metaphor, map"
1;"film";0,0102808417279722;"represent, visual, imag, metaphor, map"
1;"repres";0,0101425355180234;"represent, visual, imag, metaphor, map"
1;"interpret";0,0100272803430661;"represent, visual, imag, metaphor, map"
1;"symbol";0,00979676999315135;"represent, visual, imag, metaphor, map"
1;"express";0,00892083066347545;"represent, visual, imag, metaphor, map"
1;"materi";0,00875947341853515;"represent, visual, imag, metaphor, map"
1;"make";0,00836760582368014;"represent, visual, imag, metaphor, map"
1;"verbal";0,00792963615884219;"represent, visual, imag, metaphor, map"
1;"object";0,00758387063397013;"represent, visual, imag, metaphor, map"
2;"higher";0,175124656715019;"higher, educ, institut, univers, student"
2;"educ";0,173530264379593;"higher, educ, institut, univers, student"
2;"institut";0,076889979399918;"higher, educ, institut, univers, student"
2;"univers";0,0493687567451829;"higher, educ, institut, univers, student"
2;"student";0,0303222320895573;"higher, educ, institut, univers, student"
2;"access";0,0163174345486561;"higher, educ, institut, univers, student"
2;"bologna";0,0161881594944324;"higher, educ, institut, univers, student"
2;"level";0,0132004693523735;"higher, educ, institut, univers, student"
2;"degre";0,0112469796441042;"higher, educ, institut, univers, student"
2;"system";0,0102702347899696;"higher, educ, institut, univers, student"
2;"hei";0,0092503982510937;"higher, educ, institut, univers, student"
2;"academ";0,00892002866807757;"higher, educ, institut, univers, student"
2;"process";0,00797201160377041;"higher, educ, institut, univers, student"
2;"particip";0,00775655318006423;"higher, educ, institut, univers, student"
2;"colleg";0,00690908338015329;"higher, educ, institut, univers, student"
2;"number";0,00662180548187839;"higher, educ, institut, univers, student"
2;"tradit";0,00639198316325847;"higher, educ, institut, univers, student"
2;"tertiari";0,00636325537343098;"higher, educ, institut, univers, student"
2;"area";0,00626270810903477;"higher, educ, institut, univers, student"
2;"increas";0,00593233852601864;"higher, educ, institut, univers, student"
3;"sustain";0,106598480717436;"sustain, develop, environment, educ, esd"
3;"develop";0,0496002741713289;"sustain, develop, environment, educ, esd"
3;"environment";0,0493760924346677;"sustain, develop, environment, educ, esd"
3;"educ";0,0423704131640056;"sustain, develop, environment, educ, esd"
3;"esd";0,0275931003557557;"sustain, develop, environment, educ, esd"
3;"issu";0,02241823860116;"sustain, develop, environment, educ, esd"
3;"natur";0,0195786032701183;"sustain, develop, environment, educ, esd"
3;"action";0,0150202412913408;"sustain, develop, environment, educ, esd"
3;"environ";0,0147773777432912;"sustain, develop, environment, educ, esd"
3;"global";0,0135630600030431;"sustain, develop, environment, educ, esd"
3;"futur";0,0126663330563984;"sustain, develop, environment, educ, esd"
3;"ecolog";0,0126663330563984;"sustain, develop, environment, educ, esd"
3;"climat";0,0102003339531253;"sustain, develop, environment, educ, esd"
3;"problem";0,00939701606342273;"sustain, develop, environment, educ, esd"
3;"human";0,00891128896732349;"sustain, develop, environment, educ, esd"
3;"world";0,00851897092816642;"sustain, develop, environment, educ, esd"
3;"understand";0,00782774390679442;"sustain, develop, environment, educ, esd"
3;"social";0,00741674405624892;"sustain, develop, environment, educ, esd"
3;"energi";0,00638924442988514;"sustain, develop, environment, educ, esd"
3;"relat";0,00607165363628179;"sustain, develop, environment, educ, esd"
